      Date;    Time;                         Program; Workpiece no.;     Testpoint;Plane;     Probe no.;         Cycle;        S_MVAR;               Measuring variant;Results:    ;      Setpoint;      Measured;    Difference;Unit
20.11.2019;12:17:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,993;-0,007;mm
20.11.2019;12:17:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;60;60,004;0,004;mm
20.11.2019;12:17:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:17:22;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,996;-0,004;mm
20.11.2019;12:17:22;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;74,999;0;mm
20.11.2019;12:17:22;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:17:27;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,98;-0,02;mm
20.11.2019;12:17:27;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,006;0,006;mm
20.11.2019;12:17:27;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,017;0,008;mm
20.11.2019;12:17:32;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;45,003;0,003;mm
20.11.2019;12:17:32;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;74,989;-0,011;mm
20.11.2019;12:17:32;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
20.11.2019;12:17:37;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,987;-0,013;mm
20.11.2019;12:17:37;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,02;0,02;mm
20.11.2019;12:17:37;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,016;0,007;mm
20.11.2019;12:17:42;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;75,018;0,018;mm
20.11.2019;12:17:42;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,045;0,045;mm
20.11.2019;12:17:42;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
20.11.2019;12:17:46;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,985;-0,015;mm
20.11.2019;12:17:46;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,001;0,001;mm
20.11.2019;12:17:46;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:17:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;105,008;0,008;mm
20.11.2019;12:17:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;74,99;-0,01;mm
20.11.2019;12:17:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
20.11.2019;12:17:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,989;-0,011;mm
20.11.2019;12:17:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;74,999;0;mm
20.11.2019;12:17:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
20.11.2019;12:18:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,998;-0,002;mm
20.11.2019;12:18:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,004;0,004;mm
20.11.2019;12:18:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
20.11.2019;12:18:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,993;-0,007;mm
20.11.2019;12:18:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90;0;mm
20.11.2019;12:18:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
20.11.2019;12:18:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,981;-0,019;mm
20.11.2019;12:18:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,013;0,013;mm
20.11.2019;12:18:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
20.11.2019;12:18:19;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,994;-0,006;mm
20.11.2019;12:18:19;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,004;0,004;mm
20.11.2019;12:18:19;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:18:24;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;60;0;mm
20.11.2019;12:18:24;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;89,997;-0,003;mm
20.11.2019;12:18:24;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:18:29;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;75,003;0,003;mm
20.11.2019;12:18:29;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;89,994;-0,006;mm
20.11.2019;12:18:29;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,015;0,006;mm
20.11.2019;12:18:34;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,99;-0,01;mm
20.11.2019;12:18:34;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;89,992;-0,008;mm
20.11.2019;12:18:34;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,015;0,006;mm
20.11.2019;12:18:38;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;105,005;0,005;mm
20.11.2019;12:18:38;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90;0;mm
20.11.2019;12:18:38;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,017;0,008;mm
20.11.2019;12:18:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,994;-0,006;mm
20.11.2019;12:18:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,011;0,011;mm
20.11.2019;12:18:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,015;0,006;mm
20.11.2019;12:18:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,999;0;mm
20.11.2019;12:18:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,007;0,007;mm
20.11.2019;12:18:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
20.11.2019;12:18:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,995;-0,005;mm
20.11.2019;12:18:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;104,998;-0,002;mm
20.11.2019;12:18:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
20.11.2019;12:19:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;30,002;0,002;mm
20.11.2019;12:19:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105,001;0,001;mm
20.11.2019;12:19:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:19:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,978;-0,022;mm
20.11.2019;12:19:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;104,998;-0,002;mm
20.11.2019;12:19:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,017;0,008;mm
20.11.2019;12:19:12;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,993;-0,007;mm
20.11.2019;12:19:12;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;104,988;-0,012;mm
20.11.2019;12:19:12;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
20.11.2019;12:19:17;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,977;-0,023;mm
20.11.2019;12:19:17;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105,006;0,006;mm
20.11.2019;12:19:17;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:19:21;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,996;-0,004;mm
20.11.2019;12:19:21;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;104,995;-0,005;mm
20.11.2019;12:19:21;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
20.11.2019;12:19:26;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,986;-0,014;mm
20.11.2019;12:19:26;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105,011;0,011;mm
20.11.2019;12:19:26;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
20.11.2019;12:19:31;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,994;-0,006;mm
20.11.2019;12:19:31;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105,005;0,005;mm
20.11.2019;12:19:31;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
20.11.2019;12:19:36;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,985;-0,015;mm
20.11.2019;12:19:36;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105,011;0,011;mm
20.11.2019;12:19:36;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:19:44;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;15,013;0,013;mm
20.11.2019;12:19:44;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120,022;0,022;mm
20.11.2019;12:19:44;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:19:49;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,996;-0,004;mm
20.11.2019;12:19:49;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;119,994;-0,006;mm
20.11.2019;12:19:49;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
20.11.2019;12:19:54;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,987;-0,013;mm
20.11.2019;12:19:54;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120,005;0,005;mm
20.11.2019;12:19:54;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
20.11.2019;12:19:59;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,989;-0,011;mm
20.11.2019;12:19:59;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120,014;0,014;mm
20.11.2019;12:19:59;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
20.11.2019;12:20:04;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,986;-0,014;mm
20.11.2019;12:20:04;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120,016;0,016;mm
20.11.2019;12:20:04;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:20:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,998;-0,002;mm
20.11.2019;12:20:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120,011;0,011;mm
20.11.2019;12:20:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
20.11.2019;12:20:13;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,99;-0,01;mm
20.11.2019;12:20:13;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120,008;0,008;mm
20.11.2019;12:20:13;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
20.11.2019;12:20:18;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,988;-0,012;mm
