;      Date;    Time;                         Program; Workpiece no.;     Testpoint;Plane;     Probe no.;         Cycle;        S_MVAR;               Measuring variant;Results:    ;      Setpoint;      Measured;    Difference;Unit
41;14.11.2019;15:56:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,995;-0,005;mm
;14.11.2019;15:56:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,002;0,002;mm
;14.11.2019;15:56:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
42;14.11.2019;15:56:39;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,994;-0,006;mm
;14.11.2019;15:56:39;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,002;0,002;mm
;14.11.2019;15:56:39;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
43;14.11.2019;15:56:44;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,997;-0,003;mm
;14.11.2019;15:56:44;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,004;0,004;mm
;14.11.2019;15:56:44;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
44;14.11.2019;15:56:48;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,997;-0,003;mm
;14.11.2019;15:56:48;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,003;0,003;mm
;14.11.2019;15:56:48;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,016;0,002;mm
45;14.11.2019;15:56:53;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,996;-0,004;mm
;14.11.2019;15:56:53;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,002;0,002;mm
;14.11.2019;15:56:53;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,017;0,003;mm
46;14.11.2019;15:57:01;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,996;-0,004;mm
;14.11.2019;15:57:01;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90;0;mm
;14.11.2019;15:57:01;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,018;0,004;mm
47;14.11.2019;15:57:06;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,997;-0,003;mm
;14.11.2019;15:57:06;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,003;0,003;mm
;14.11.2019;15:57:06;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
48;14.11.2019;15:57:10;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,998;-0,002;mm
;14.11.2019;15:57:10;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,003;0,003;mm
;14.11.2019;15:57:10;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,022;0,008;mm
49;14.11.2019;15:57:15;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,997;-0,003;mm
;14.11.2019;15:57:15;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,003;0,003;mm
;14.11.2019;15:57:15;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
50;14.11.2019;15:57:20;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;75;0;mm
;14.11.2019;15:57:20;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,002;0,002;mm
;14.11.2019;15:57:20;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,018;0,004;mm
51;14.11.2019;15:57:24;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,997;-0,003;mm
;14.11.2019;15:57:24;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,003;0,003;mm
;14.11.2019;15:57:24;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,023;0,009;mm
52;14.11.2019;15:57:29;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,998;-0,002;mm
;14.11.2019;15:57:29;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,003;0,003;mm
;14.11.2019;15:57:29;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,022;0,008;mm
53;14.11.2019;15:57:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,998;-0,002;mm
;14.11.2019;15:57:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90,002;0,002;mm
;14.11.2019;15:57:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,018;0,004;mm
54;14.11.2019;15:57:38;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,996;-0,004;mm
;14.11.2019;15:57:38;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90;0;mm
;14.11.2019;15:57:38;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
55;14.11.2019;15:57:46;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,996;-0,004;mm
;14.11.2019;15:57:46;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;104,999;-0,001;mm
;14.11.2019;15:57:46;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
56;14.11.2019;15:57:51;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,997;-0,003;mm
;14.11.2019;15:57:51;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105;0;mm
;14.11.2019;15:57:51;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
57;14.11.2019;15:57:55;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,997;-0,003;mm
;14.11.2019;15:57:55;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105;0;mm
;14.11.2019;15:57:55;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
58;14.11.2019;15:58:00;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,996;-0,004;mm
;14.11.2019;15:58:00;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105;0;mm
;14.11.2019;15:58:00;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
59;14.11.2019;15:58:05;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,996;-0,004;mm
;14.11.2019;15:58:05;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;104,999;0;mm
;14.11.2019;15:58:05;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
60;14.11.2019;15:58:09;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,993;-0,007;mm
;14.11.2019;15:58:09;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105;0;mm
;14.11.2019;15:58:09;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,023;0,009;mm
61;14.11.2019;15:58:14;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,995;-0,005;mm
;14.11.2019;15:58:14;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105,001;0;mm
;14.11.2019;15:58:14;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,023;0,009;mm
62;14.11.2019;15:58:19;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,995;-0,005;mm
;14.11.2019;15:58:19;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;104,999;0;mm
;14.11.2019;15:58:19;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,018;0,004;mm
63;14.11.2019;15:58:23;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,992;-0,008;mm
;14.11.2019;15:58:23;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;105;105,001;0,001;mm
;14.11.2019;15:58:23;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,011;-0,003;mm
64;14.11.2019;15:58:31;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,996;-0,004;mm
;14.11.2019;15:58:31;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;119,999;-0,001;mm
;14.11.2019;15:58:31;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
65;14.11.2019;15:58:36;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,995;-0,005;mm
;14.11.2019;15:58:36;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;119,999;0;mm
;14.11.2019;15:58:36;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,022;0,008;mm
66;14.11.2019;15:58:40;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,997;-0,003;mm
;14.11.2019;15:58:40;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120;0;mm
;14.11.2019;15:58:40;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
67;14.11.2019;15:58:45;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,996;-0,004;mm
;14.11.2019;15:58:45;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;119,999;-0,001;mm
;14.11.2019;15:58:45;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
68;14.11.2019;15:58:50;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,996;-0,004;mm
;14.11.2019;15:58:50;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120;0;mm
;14.11.2019;15:58:50;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,022;0,008;mm
69;14.11.2019;15:58:55;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,996;-0,004;mm
;14.11.2019;15:58:55;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120;0;mm
;14.11.2019;15:58:55;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
70;14.11.2019;15:58:59;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,996;-0,004;mm
;14.11.2019;15:58:59;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120;0;mm
;14.11.2019;15:58:59;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
71;14.11.2019;15:59:04;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,996;-0,004;mm
;14.11.2019;15:59:04;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;120;0;mm
;14.11.2019;15:59:04;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
72;14.11.2019;15:59:09;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,995;-0,005;mm
;14.11.2019;15:59:09;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;120;119,999;-0,001;mm
;14.11.2019;15:59:09;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
73;14.11.2019;15:59:16;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,997;-0,003;mm
;14.11.2019;15:59:16;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;135;135;0;mm
;14.11.2019;15:59:16;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,022;0,008;mm
74;14.11.2019;15:59:21;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,997;-0,003;mm
;14.11.2019;15:59:21;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;135;134,999;0;mm
;14.11.2019;15:59:21;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
75;14.11.2019;15:59:26;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,998;-0,002;mm
;14.11.2019;15:59:26;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;135;135;0;mm
;14.11.2019;15:59:26;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
76;14.11.2019;15:59:30;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,997;-0,003;mm
;14.11.2019;15:59:30;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;135;135;0;mm
;14.11.2019;15:59:30;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
77;14.11.2019;15:59:35;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,996;-0,004;mm
;14.11.2019;15:59:35;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;135;134,999;-0,001;mm
;14.11.2019;15:59:35;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
78;14.11.2019;15:59:40;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,995;-0,005;mm
;14.11.2019;15:59:40;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;135;134,999;0;mm
;14.11.2019;15:59:40;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
79;14.11.2019;15:59:44;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,996;-0,004;mm
;14.11.2019;15:59:44;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;135;134,999;0;mm
;14.11.2019;15:59:44;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
80;14.11.2019;15:59:49;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,984;-0,016;mm
;14.11.2019;15:59:49;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;135;135,012;0,012;mm
;14.11.2019;15:59:49;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;11,987;-0,027;mm
81;14.11.2019;15:59:54;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,995;-0,005;mm
;14.11.2019;15:59:54;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;135;135;0;mm
;14.11.2019;15:59:54;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
